Date,Time,Location,Weather,Name from Notes,Common Name,Seen/Heard,Count,Male/Female,Comments,Scientific Name,eBird URL
,,,,Large grey babbler,Large Grey Babbler,,3,,,Argya malcolmi,"=HYPERLINK(""https://ebird.org/species/lagbab2?siteLanguage=en_IN"", ""Large Grey Babbler"")"
10 Jan 1998,4:15 pm – 6:00 pm,,"Clear Sky, Bright sunshine",red whiskered bulbul,Red-whiskered Bulbul,,,,,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,coppersmith,Coppersmith Barbet,,,,,Psilopogon haemacephalus,"=HYPERLINK(""https://ebird.org/species/copbar1?siteLanguage=en_IN"", ""Coppersmith Barbet"")"
,,,,Iora,Common Iora,heard,,,,Aegithina tiphia,"=HYPERLINK(""https://ebird.org/species/comior1?siteLanguage=en_IN"", ""Common Iora"")"
,,,,koel,Asian Koel,,,,,Eudynamys scolopaceus,"=HYPERLINK(""https://ebird.org/species/asikoe2?siteLanguage=en_IN"", ""Asian Koel"")"
,,,,purple rumped sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,pond heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,oriole,Indian Golden Oriole,,,F,,Oriolus kundoo,"=HYPERLINK(""https://ebird.org/species/ingori1?siteLanguage=en_IN"", ""Indian Golden Oriole"")"
,,,,sunbird,Loten's Sunbird (Long-billed Sunbird),,,,,Cinnyris lotenius,"=HYPERLINK(""https://ebird.org/species/lobsun2?siteLanguage=en_IN"", ""Loten's Sunbird (Long-billed Sunbird)"")"
,,,,grey drongo,Ashy Drongo,,,,,Dicrurus leucophaeus,"=HYPERLINK(""https://ebird.org/species/ashdro1?siteLanguage=en_IN"", ""Ashy Drongo"")"
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
