Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name,name,id
23-1-98,,,"Clear Sky, Sunny",purple sunbird,,2 pairs,,,Purple Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,purple rumped sunbird,,2 pairs,,,Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,white browed bulbul,,,,,White-browed Bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
,,,,blue rock pigeon,,,,,Blue Rock Pigeon,Rock Pigeon (Blue Rock Pigeon) - Columba livia,rocpig
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
,,,,grey drongo,,,,,grey drongo,Ashy Drongo - Dicrurus leucophaeus,ashdro1
,,,,coppersmith,,,,,Coppersmith,Coppersmith Barbet - Psilopogon haemacephalus,copbar1
,,,,hair creasted drongo,,,,Juvenile,Hair-crested Drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
,,,,spotted dove,,,,,Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
,,,,spotted munia,,,,,Spotted Munia,Scaly-breasted Munia (Spotted Munia) - Lonchura punctulata,nutman
,,,,pied wagtail,,,,,Pied Wagtail,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,small green beeeater,,,,,Small Green Bee-eater,Asian Green Bee-eater - Merops orientalis,grnbee3
,,,,common myna,,,,,Common Myna,Common Myna - Acridotheres tristis,commyn
,,,,pond heron,,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
26-1-98,4:15 pm - ,,"Clear Sky, Sunny",median egeret,,,,,Median Egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
,,,,pied wagtail,,,,,Pied Wagtail,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
,,,,little egret,,,,,Little Egret,Little Egret - Egretta garzetta,litegr
,,,,dabchick,,,,,dabchick,Little Grebe - Tachybaptus ruficollis,litgre1
,,,,pond heron,,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
,,,,cattle egeret,,,,,Cattle Egret,Eastern Cattle Egret - Bubulcus coromandus,categr2
,,,,Indian robin,,,,,Indian Robin,Indian Robin - Copsychus fulicatus,indrob1
,,,,little green beeeater,,,,,Little Green Bee-eater,Asian Green Bee-eater - Merops orientalis,grnbee3
,,,,Warbler ?,,,,,Warbler,Blyth's Reed Warbler - Acrocephalus dumetorum,blrwar1
,,,,neophron,,,,,Neophron,Egyptian Vulture - Neophron percnopterus,egyvul1
,,,,Twany eagle,,,,,Tawny eagle,Tawny Eagle - Aquila rapax,taweag1
,,,,house swift,,,,,House Swift,Little Swift (Indian House Swift) - Apus affinis,litswi1
,,,,shikra,,,,,Shikra,Shikra - Accipiter badius,shikra1
,,,,red wattled lapwing,,,,,Red-wattled Lapwing,Red-wattled Lapwing - Vanellus indicus,rewlap1
,,,,little brown dove,,,,,Little Brown Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
,,,,white throated munia,,,,,White-throated Munia,Indian Silverbill (White-throated Munia) - Euodice malabarica,indsil
,,,,bush lark,,,,,Bush Lark,Indian Bushlark (Red-winged Bushlark) - Mirafra erythroptera,indbus2
,,,,black eagle,,,,,Black eagle,Black Eagle - Ictinaetus malaiensis,blaeag1
,,,,pied bushchat,,,,,Pied Bushchat,Pied Bushchat - Saxicola caprata,piebus1
,,,,blue rock pigeon,,,,,Blue Rock Pigeon,Rock Pigeon (Blue Rock Pigeon) - Columba livia,rocpig
,,,,red vented bulbul,,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,,,common swallow,,,,,Common Swallow,Red-rumped Swallow - Cecropis daurica,rerswa1
