Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name
,,,,pond heron,,,,,Pond Heron
,,,,cattle egret,,,,,Cattle Egret
,,,,tailor bird,heard,,,,Tailorbird
,,,,black drongo,,,,,Black drongo
,,,,jungle babbler,,,,,Jungle Babbler
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,little brown dove,,,,,Little Brown Dove
,,,,large pied wagtail,,,,,Large Pied Wagtail
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,median egret,,,,,Median Egret
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,koel,heard,,,,Koel
,,,,alpine swift,,,,,Alpine swift
,,,,Ashy wren warbler,,,,,Ashy Wren Warbler
,,,,common myna,,,,,Common Myna
,,,,house swift,,,,,House Swift
,,,,yellow headed babbler,,,,,Yellow-headed Babbler
,,,,little egret,,,,,Little Egret
,,,,pariah kite,,,,,Pariah Kite
,,,,bush lark,,,,,Bush Lark
12-9-99,,,"Cloudy Sky, windy",spotted owlet,,,,,Spotted Owlet
,,,,indian robin,,,,,Indian Robin
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,tailor bird,heard,,,,Tailorbird
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,dusky craig martin,,,,,dusky crag martin
,,,,little brown dove,,,,,Little Brown Dove
,,,,sirkeer cuckoo,,,,,Sirkeer Cuckoo
,,,,jungle wren warbler,,,,,Jungle Wren-Warbler
,,,,house swift,,,,,House Swift
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,pariah kite,,,,,Pariah Kite
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,Iora,,,,,Iora
,,,,Franklins wren warbler,,,,,"Franklin""s Wren Warbler"
,,,,Lotaen sunbird,,,,,Loten Sunbird
,,,,Shikra,,,,,Shikra
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,roufous bellied babbler,,,,,Rufous-bellied Babbler
,,,,black drongo,,,,,Black drongo
,,,,mottled wood owl,,,,,Mottled Wood Owl
,,,,spotted munia,,,,,Spotted Munia
,,,,Wood shrike,,,,,Woodshrike
,,,,alpine swift,,,,,Alpine swift
,,,,common myna,,,,,Common Myna
,,,,Koel,,,,,Koel
,,,,Tree pie,,,,,Treepie
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,purple sunbird,,,,,Purple Sunbird
19-9-99,,,Cloudy sky,large pied wagtail,,,,,Large Pied Wagtail
,,,,black headed munia,,,,,Black-headed munia
,,,,coucal,,,,,coucal
,,,,spotted dove,,,,,Spotted Dove
,,,,blossom headed parakeet,,,,,Blossom-headed Parakeet
,,,,roufous bellied finchlark,,,,,Rufous-bellied Finch Lark
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,indian robin,,,,,Indian Robin
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,indian roller,,,,,Indian Roller
,,,,twany eagle,,,,,Tawny Eagle
,,,,jungle wren warbler,,,,,Jungle Wren-Warbler
,,,,myna,,,,,Myna
,,,,red creasted cuckoo,,,,,Red-crested Cuckoo
,,,,spotted munia,,,,,Spotted Munia
,,,,pond heron,,,,,Pond Heron
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,roufous winged bush lark,,,,,Rufous-winged Bush Lark
,,,,black headed munia,,,,,Black-headed munia
,,,,Large cuckoo shrke,,,,,Large Cuckoo Shrike
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,golden backed woodpecker,,,,,golden-backed woodpecker
,,,,Ashy wren warbler,,,,,Ashy Wren Warbler
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
